Store,Saleable Quantity,State
"Bellingham30 Bellis Fair Pkwy Bellingham, WA 98226-5573",11,WA
"Burlington199 Cascade Mall Dr Burlington, WA 98233-3251",152,WA
"Marysville16818 Twin Lakes Ave Marysville, WA 98271-4724",213,WA
"Lake Stevens9601 Market Pl Lake Stevens, WA 98258-7949",198,WA
"Everett405 SE Everett Mall Way Everett, WA 98208-3243",155,WA
"Lynnwood18305 Alderwood Mall Pkwy Lynnwood, WA 98037-3961",38,WA
"Woodinville13950 NE 178th Pl Ste. 100, Woodinville, WA 98072-3523",209,WA
"Northgate302 NE Northgate Way Seattle, WA 98125-6047",3,WA
"Silverdale3201 NW Randall Way Silverdale, WA 98383-7952",3,WA
"Redmond17700 NE 76th St Redmond, WA 98052-3300",233,WA
"Seattle Pike Plaza1401 2nd Ave Seattle, WA 98101-2007",0,WA
"Factoria4053 Factoria Square Mall SE Bellevue, WA 98006-1286",203,WA
"West Seattle2800 SW Barton St Seattle, WA 98126-3975",173,WA
"Issaquah755 NW Gilman Blvd Issaquah, WA 98027-5357",4,WA
"Olympia2925 Harrison Ave NW Olympia, WA 98502-2566",172,WA
"Lacey665 Sleater Kinney Rd SE Lacey, WA 98503-1007",197,WA
"Longview205 Three Rivers Dr Kelso, WA 98626-3127",6,WA
"Lakewood5618 Lakewood Town Center Blvd SW Lakewood, WA 98499-3894",161,WA
"Gig Harbor11400 51st Ave NW Gig Harbor, WA 98332-7891",204,WA
"North Tacoma3320 S 23rd St Tacoma, WA 98405-1603",245,WA
"Puyallup South10302 156Th St E Puyallup, WA 98374-9321",7,WA
"Puyallup3310 S Meridian Puyallup, WA 98373-3777",0,WA
"Federal Way2201 S Commons Federal Way, WA 98003-6023",207,WA
"Bonney Lake9400 192nd Ave E Bonney Lake, WA 98391-8564",170,WA
"South Center301 Strander Blvd Tukwila, WA 98188-2971",163,WA
"Kent26301 104th Ave SE Kent, WA 98030-7649",183,WA
"Renton1215 N Landing Way Renton, WA 98057-5521",1,WA
"Hillsboro2295 SE Tualatin Valley Hwy Hillsboro, OR 97123-7915",27,OR
"Tanasbourne18101 NW Evergreen Pkwy Beaverton, OR 97006-7439",243,OR
"Sherwood21365 SW Baler Way Sherwood, OR 97140-8989",83,OR
"Keizer6450 Keizer Station Blvd NE Keizer, OR 97303-1695",204,OR
"Beaverton10775 SW Beaverton Hillsdale Hwy Beaverton, OR 97005-3001",30,OR
"Washington Square9009 SW Hall Blvd Tigard, OR 97223-4432",234,OR
"Wilsonville25925 SW Heather Pl Wilsonville, OR 97070-5785",179,OR
"Salem3790 Center St NE Salem, OR 97301-2905",34,OR
"Portland Galleria939 SW Morrison Portland, OR 97205-2726",66,OR
"Portland NW1555 N Tomahawk Island Dr Portland, OR 97217-8296",182,OR
"Vancouver NW8801 NE Hazel Dell Ave Vancouver, WA 98665-8145",168,WA
"Clackamas9000 SE Sunnyside Rd Clackamas, OR 97015-9758",56,OR
"Vancouver7809C NE Vancouver Plaza Dr Vancouver, WA 98662-6624",125,WA
"Portland East9800 SE Washington St Portland, OR 97216-2420",210,OR
"Portland NE9401 NE Cascades Pkwy Portland, OR 97220-6824",155,OR
"Albany2255 14th Ave SE Albany, OR 97322-8513",167,OR
"Vancouver East16200 SE Mill Plain Blvd Vancouver, WA 98684-9638",20,WA
"TARGET.COM ALBANY TFC FC STR875 Beta Dr SW Albany, OR 97321-3714",0,OR
"Fairview21500 NE Halsey St Fairview, OR 97024-8616",96,OR
"Wenatchee1102 Springwater St Wenatchee, WA 98801-1548",169,WA
"Eugene4575 W 11th Ave Eugene, OR 97402-5442",149,OR
"Springfield2750 Gateway St Springfield, OR 97477-1172",185,OR
"Yakima12 N Fair Ave Yakima, WA 98901-4520",157,WA
"North Spokane9770 N Newport Hwy Spokane, WA 99218-1249",161,WA
"Richland2941 Queensgate Dr Richland, WA 99352-9101",90,WA
"Kennewick1106 N Columbia Center Blvd Kennewick, WA 99336-1161",7,WA
"Medford2000 Crater Lake Hwy Medford, OR 97504-4161",181,OR
"Spokane South4915 S Regal St Spokane, WA 99223-7633",131,WA
"Spokane Valley13724 E Sprague Ave Spokane, WA 99216-0812",181,WA
"Coeur d'Alene315 W Canfield Ave Coeur d'Alene, ID 83815-7750",165,ID
"Eureka2525 4th St Eureka, CA 95501-0823",225,CA
"Redding1280 Dana Dr Redding, CA 96003-4038",163,CA
"Bend63435 N Highway 97 Bend, OR 97701-7802",38,OR
"Santa Rosa North950 Coddingtown Center Santa Rosa, CA 95401-3506",198,CA
